Chinese	Vietnamese
Thấy việc bất bình, chúng ta nhất định phải rút kiếm tương trợ!<color=#c44b0e>(特定战斗)</color>|Ta đến để dạy dỗ đám người này một bài học!<color=#c44b0e>(特定战斗)</color>|Ngươi yên tâm, mọi việc cứ để ta lo!<color=#c44b0e>(特定战斗)</color>|Để ta lo liệu!<color=#c44b0e>(特定战斗)</color>	Thấy việc bất bình, chúng ta nhất định phải rút kiếm tương trợ!<color=#c44b0e>( đặc định chiến đấu )</color>|Ta đến để dạy dỗ đám người này một bài học!<color=#c44b0e>( đặc định chiến đấu )</color>|Ngươi yên tâm, mọi việc cứ để ta lo!<color=#c44b0e>( đặc định chiến đấu )</color>|Để ta lo liệu!<color=#c44b0e>( đặc định chiến đấu )</color>
Thấy việc bất bình, chúng ta nhất định phải rút kiếm tương trợ!<color=#c44b0e>(特定战斗)</color>|Ta đến để dạy dỗ đám người này một bài học!<color=#c44b0e>(特定战斗)</color>|Ngươi yên tâm, mọi việc cứ để ta lo!<color=#c44b0e>(特定战斗)</color>|Để ta lo liệu!<color=#c44b0e>(特定战斗)</color>	Thấy việc bất bình, chúng ta nhất định phải rút kiếm tương trợ!<color=#c44b0e>( đặc định chiến đấu )</color>|Ta đến để dạy dỗ đám người này một bài học!<color=#c44b0e>( đặc định chiến đấu )</color>|Ngươi yên tâm, mọi việc cứ để ta lo!<color=#c44b0e>( đặc định chiến đấu )</color>|Để ta lo liệu!<color=#c44b0e>( đặc định chiến đấu )</color>
Thấy việc bất bình, chúng ta nhất định phải rút kiếm tương trợ!<color=#c44b0e>(特定战斗)</color>|Ta đến để dạy dỗ đám người này một bài học!<color=#c44b0e>(特定战斗)</color>|Ngươi yên tâm, mọi việc cứ để ta lo!<color=#c44b0e>(特定战斗)</color>|Để ta lo liệu!<color=#c44b0e>(特定战斗)</color>	Thấy việc bất bình, chúng ta nhất định phải rút kiếm tương trợ!<color=#c44b0e>( đặc định chiến đấu )</color>|Ta đến để dạy dỗ đám người này một bài học!<color=#c44b0e>( đặc định chiến đấu )</color>|Ngươi yên tâm, mọi việc cứ để ta lo!<color=#c44b0e>( đặc định chiến đấu )</color>|Để ta lo liệu!<color=#c44b0e>( đặc định chiến đấu )</color>
Thấy việc bất bình, chúng ta nhất định phải rút kiếm tương trợ!<color=#c44b0e>(特定战斗)</color>|Ta đến để dạy dỗ đám người này một bài học!<color=#c44b0e>(特定战斗)</color>|Ngươi yên tâm, mọi việc cứ để ta lo!<color=#c44b0e>(特定战斗)</color>|Để ta lo liệu!<color=#c44b0e>(特定战斗)</color>	Thấy việc bất bình, chúng ta nhất định phải rút kiếm tương trợ!<color=#c44b0e>( đặc định chiến đấu )</color>|Ta đến để dạy dỗ đám người này một bài học!<color=#c44b0e>( đặc định chiến đấu )</color>|Ngươi yên tâm, mọi việc cứ để ta lo!<color=#c44b0e>( đặc định chiến đấu )</color>|Để ta lo liệu!<color=#c44b0e>( đặc định chiến đấu )</color>
Thấy việc bất bình, chúng ta nhất định phải rút kiếm tương trợ!<color=#c44b0e>(特定战斗)</color>|Ta đến để dạy dỗ đám người này một bài học!<color=#c44b0e>(特定战斗)</color>|Ngươi yên tâm, mọi việc cứ để ta lo!<color=#c44b0e>(特定战斗)</color>|Để ta lo liệu!<color=#c44b0e>(特定战斗)</color>	Thấy việc bất bình, chúng ta nhất định phải rút kiếm tương trợ!<color=#c44b0e>( đặc định chiến đấu )</color>|Ta đến để dạy dỗ đám người này một bài học!<color=#c44b0e>( đặc định chiến đấu )</color>|Ngươi yên tâm, mọi việc cứ để ta lo!<color=#c44b0e>( đặc định chiến đấu )</color>|Để ta lo liệu!<color=#c44b0e>( đặc định chiến đấu )</color>
Thấy việc bất bình, chúng ta nhất định phải rút kiếm tương trợ!<color=#c44b0e>(特定战斗)</color>|Ta đến để dạy dỗ đám người này một bài học!<color=#c44b0e>(特定战斗)</color>|Ngươi yên tâm, mọi việc cứ để ta lo!<color=#c44b0e>(特定战斗)</color>|Để ta lo liệu!<color=#c44b0e>(特定战斗)</color>	Thấy việc bất bình, chúng ta nhất định phải rút kiếm tương trợ!<color=#c44b0e>( đặc định chiến đấu )</color>|Ta đến để dạy dỗ đám người này một bài học!<color=#c44b0e>( đặc định chiến đấu )</color>|Ngươi yên tâm, mọi việc cứ để ta lo!<color=#c44b0e>( đặc định chiến đấu )</color>|Để ta lo liệu!<color=#c44b0e>( đặc định chiến đấu )</color>
Thấy việc bất bình, chúng ta nhất định phải rút kiếm tương trợ!<color=#c44b0e>(特定战斗)</color>|Ta đến để dạy dỗ đám người này một bài học!<color=#c44b0e>(特定战斗)</color>|Ngươi yên tâm, mọi việc cứ để ta lo!<color=#c44b0e>(特定战斗)</color>|Để ta lo liệu!<color=#c44b0e>(特定战斗)</color>	Thấy việc bất bình, chúng ta nhất định phải rút kiếm tương trợ!<color=#c44b0e>( đặc định chiến đấu )</color>|Ta đến để dạy dỗ đám người này một bài học!<color=#c44b0e>( đặc định chiến đấu )</color>|Ngươi yên tâm, mọi việc cứ để ta lo!<color=#c44b0e>( đặc định chiến đấu )</color>|Để ta lo liệu!<color=#c44b0e>( đặc định chiến đấu )</color>
Thấy việc bất bình, chúng ta nhất định phải rút kiếm tương trợ!<color=#c44b0e>(特定战斗)</color>|Ta đến để dạy dỗ đám người này một bài học!<color=#c44b0e>(特定战斗)</color>|Ngươi yên tâm, mọi việc cứ để ta lo!<color=#c44b0e>(特定战斗)</color>|Để ta lo liệu!<color=#c44b0e>(特定战斗)</color>	Thấy việc bất bình, chúng ta nhất định phải rút kiếm tương trợ!<color=#c44b0e>( đặc định chiến đấu )</color>|Ta đến để dạy dỗ đám người này một bài học!<color=#c44b0e>( đặc định chiến đấu )</color>|Ngươi yên tâm, mọi việc cứ để ta lo!<color=#c44b0e>( đặc định chiến đấu )</color>|Để ta lo liệu!<color=#c44b0e>( đặc định chiến đấu )</color>
Thấy việc bất bình, chúng ta nhất định phải rút kiếm tương trợ!<color=#c44b0e>(特定战斗)</color>|Ta đến để dạy dỗ đám người này một bài học!<color=#c44b0e>(特定战斗)</color>|Ngươi yên tâm, mọi việc cứ để ta lo!<color=#c44b0e>(特定战斗)</color>|Để ta lo liệu!<color=#c44b0e>(特定战斗)</color>	Thấy việc bất bình, chúng ta nhất định phải rút kiếm tương trợ!<color=#c44b0e>( đặc định chiến đấu )</color>|Ta đến để dạy dỗ đám người này một bài học!<color=#c44b0e>( đặc định chiến đấu )</color>|Ngươi yên tâm, mọi việc cứ để ta lo!<color=#c44b0e>( đặc định chiến đấu )</color>|Để ta lo liệu!<color=#c44b0e>( đặc định chiến đấu )</color>
Thấy việc bất bình, chúng ta nhất định phải rút kiếm tương trợ!<color=#c44b0e>(特定战斗)</color>|Ta đến để dạy dỗ đám người này một bài học!<color=#c44b0e>(特定战斗)</color>|Ngươi yên tâm, mọi việc cứ để ta lo!<color=#c44b0e>(特定战斗)</color>|Để ta lo liệu!<color=#c44b0e>(特定战斗)</color>	Thấy việc bất bình, chúng ta nhất định phải rút kiếm tương trợ!<color=#c44b0e>( đặc định chiến đấu )</color>|Ta đến để dạy dỗ đám người này một bài học!<color=#c44b0e>( đặc định chiến đấu )</color>|Ngươi yên tâm, mọi việc cứ để ta lo!<color=#c44b0e>( đặc định chiến đấu )</color>|Để ta lo liệu!<color=#c44b0e>( đặc định chiến đấu )</color>
Thấy việc bất bình, chúng ta nhất định phải rút kiếm tương trợ!<color=#c44b0e>(特定战斗)</color>|Ta đến để dạy dỗ đám người này một bài học!<color=#c44b0e>(特定战斗)</color>|Ngươi yên tâm, mọi việc cứ để ta lo!<color=#c44b0e>(特定战斗)</color>|Để ta lo liệu!<color=#c44b0e>(特定战斗)</color>	Thấy việc bất bình, chúng ta nhất định phải rút kiếm tương trợ!<color=#c44b0e>( đặc định chiến đấu )</color>|Ta đến để dạy dỗ đám người này một bài học!<color=#c44b0e>( đặc định chiến đấu )</color>|Ngươi yên tâm, mọi việc cứ để ta lo!<color=#c44b0e>( đặc định chiến đấu )</color>|Để ta lo liệu!<color=#c44b0e>( đặc định chiến đấu )</color>
Thật ra tôi định bắt một tên trộm nhỏ, không ngờ lại sa vào ổ trộm!<color=#c44b0e>(特定战斗)</color>|Mọi ác nhân cuối cùng sẽ bị trừng trị!<color=#c44b0e>(特定战斗)</color>|Đúng lúc sẽ dọn sạch các ngươi!<color=#c44b0e>(特定战斗)</color>|Hôm nay ta nhất định phải diệt trừ tai họa cho dân!<color=#c44b0e>(特定战斗)</color>|Chỗ này hôi quá, tôi còn tưởng là nhà xí nữa!<color=#c44b0e>(特定战斗)</color>	Thật ra tôi định bắt một tên trộm nhỏ, không ngờ lại sa vào ổ trộm!<color=#c44b0e>( đặc định chiến đấu )</color>|Mọi ác nhân cuối cùng sẽ bị trừng trị!<color=#c44b0e>( đặc định chiến đấu )</color>|Đúng lúc sẽ dọn sạch các ngươi!<color=#c44b0e>( đặc định chiến đấu )</color>|Hôm nay ta nhất định phải diệt trừ tai họa cho dân!<color=#c44b0e>( đặc định chiến đấu )</color>|Chỗ này hôi quá, tôi còn tưởng là nhà xí nữa!<color=#c44b0e>( đặc định chiến đấu )</color>
Thật ra tôi định bắt một tên trộm nhỏ, không ngờ lại sa vào ổ trộm!<color=#c44b0e>(特定战斗)</color>|Mọi ác nhân cuối cùng sẽ bị trừng trị!<color=#c44b0e>(特定战斗)</color>|Đúng lúc sẽ dọn sạch các ngươi!<color=#c44b0e>(特定战斗)</color>|Hôm nay ta nhất định phải diệt trừ tai họa cho dân!<color=#c44b0e>(特定战斗)</color>|Chỗ này hôi quá, tôi còn tưởng là nhà xí nữa!<color=#c44b0e>(特定战斗)</color>	Thật ra tôi định bắt một tên trộm nhỏ, không ngờ lại sa vào ổ trộm!<color=#c44b0e>( đặc định chiến đấu )</color>|Mọi ác nhân cuối cùng sẽ bị trừng trị!<color=#c44b0e>( đặc định chiến đấu )</color>|Đúng lúc sẽ dọn sạch các ngươi!<color=#c44b0e>( đặc định chiến đấu )</color>|Hôm nay ta nhất định phải diệt trừ tai họa cho dân!<color=#c44b0e>( đặc định chiến đấu )</color>|Chỗ này hôi quá, tôi còn tưởng là nhà xí nữa!<color=#c44b0e>( đặc định chiến đấu )</color>
Thật ra tôi định bắt một tên trộm nhỏ, không ngờ lại sa vào ổ trộm!<color=#c44b0e>(特定战斗)</color>|Mọi ác nhân cuối cùng sẽ bị trừng trị!<color=#c44b0e>(特定战斗)</color>|Đúng lúc sẽ dọn sạch các ngươi!<color=#c44b0e>(特定战斗)</color>|Hôm nay ta nhất định phải diệt trừ tai họa cho dân!<color=#c44b0e>(特定战斗)</color>|Chỗ này hôi quá, tôi còn tưởng là nhà xí nữa!<color=#c44b0e>(特定战斗)</color>	Thật ra tôi định bắt một tên trộm nhỏ, không ngờ lại sa vào ổ trộm!<color=#c44b0e>( đặc định chiến đấu )</color>|Mọi ác nhân cuối cùng sẽ bị trừng trị!<color=#c44b0e>( đặc định chiến đấu )</color>|Đúng lúc sẽ dọn sạch các ngươi!<color=#c44b0e>( đặc định chiến đấu )</color>|Hôm nay ta nhất định phải diệt trừ tai họa cho dân!<color=#c44b0e>( đặc định chiến đấu )</color>|Chỗ này hôi quá, tôi còn tưởng là nhà xí nữa!<color=#c44b0e>( đặc định chiến đấu )</color>
Thật ra tôi định bắt một tên trộm nhỏ, không ngờ lại sa vào ổ trộm!<color=#c44b0e>(特定战斗)</color>|Mọi ác nhân cuối cùng sẽ bị trừng trị!<color=#c44b0e>(特定战斗)</color>|Đúng lúc sẽ dọn sạch các ngươi!<color=#c44b0e>(特定战斗)</color>|Hôm nay ta nhất định phải diệt trừ tai họa cho dân!<color=#c44b0e>(特定战斗)</color>|Chỗ này hôi quá, tôi còn tưởng là nhà xí nữa!<color=#c44b0e>(特定战斗)</color>	Thật ra tôi định bắt một tên trộm nhỏ, không ngờ lại sa vào ổ trộm!<color=#c44b0e>( đặc định chiến đấu )</color>|Mọi ác nhân cuối cùng sẽ bị trừng trị!<color=#c44b0e>( đặc định chiến đấu )</color>|Đúng lúc sẽ dọn sạch các ngươi!<color=#c44b0e>( đặc định chiến đấu )</color>|Hôm nay ta nhất định phải diệt trừ tai họa cho dân!<color=#c44b0e>( đặc định chiến đấu )</color>|Chỗ này hôi quá, tôi còn tưởng là nhà xí nữa!<color=#c44b0e>( đặc định chiến đấu )</color>
Thật ra tôi định bắt một tên trộm nhỏ, không ngờ lại sa vào ổ trộm!<color=#c44b0e>(特定战斗)</color>|Mọi ác nhân cuối cùng sẽ bị trừng trị!<color=#c44b0e>(特定战斗)</color>|Đúng lúc sẽ dọn sạch các ngươi!<color=#c44b0e>(特定战斗)</color>|Hôm nay ta nhất định phải diệt trừ tai họa cho dân!<color=#c44b0e>(特定战斗)</color>|Chỗ này hôi quá, tôi còn tưởng là nhà xí nữa!<color=#c44b0e>(特定战斗)</color>	Thật ra tôi định bắt một tên trộm nhỏ, không ngờ lại sa vào ổ trộm!<color=#c44b0e>( đặc định chiến đấu )</color>|Mọi ác nhân cuối cùng sẽ bị trừng trị!<color=#c44b0e>( đặc định chiến đấu )</color>|Đúng lúc sẽ dọn sạch các ngươi!<color=#c44b0e>( đặc định chiến đấu )</color>|Hôm nay ta nhất định phải diệt trừ tai họa cho dân!<color=#c44b0e>( đặc định chiến đấu )</color>|Chỗ này hôi quá, tôi còn tưởng là nhà xí nữa!<color=#c44b0e>( đặc định chiến đấu )</color>
Thật ra tôi định bắt một tên trộm nhỏ, không ngờ lại sa vào ổ trộm!<color=#c44b0e>(特定战斗)</color>|Mọi ác nhân cuối cùng sẽ bị trừng trị!<color=#c44b0e>(特定战斗)</color>|Đúng lúc sẽ dọn sạch các ngươi!<color=#c44b0e>(特定战斗)</color>|Hôm nay ta nhất định phải diệt trừ tai họa cho dân!<color=#c44b0e>(特定战斗)</color>|Chỗ này hôi quá, tôi còn tưởng là nhà xí nữa!<color=#c44b0e>(特定战斗)</color>	Thật ra tôi định bắt một tên trộm nhỏ, không ngờ lại sa vào ổ trộm!<color=#c44b0e>( đặc định chiến đấu )</color>|Mọi ác nhân cuối cùng sẽ bị trừng trị!<color=#c44b0e>( đặc định chiến đấu )</color>|Đúng lúc sẽ dọn sạch các ngươi!<color=#c44b0e>( đặc định chiến đấu )</color>|Hôm nay ta nhất định phải diệt trừ tai họa cho dân!<color=#c44b0e>( đặc định chiến đấu )</color>|Chỗ này hôi quá, tôi còn tưởng là nhà xí nữa!<color=#c44b0e>( đặc định chiến đấu )</color>
Thật ra tôi định bắt một tên trộm nhỏ, không ngờ lại sa vào ổ trộm!<color=#c44b0e>(特定战斗)</color>|Mọi ác nhân cuối cùng sẽ bị trừng trị!<color=#c44b0e>(特定战斗)</color>|Đúng lúc sẽ dọn sạch các ngươi!<color=#c44b0e>(特定战斗)</color>|Hôm nay ta nhất định phải diệt trừ tai họa cho dân!<color=#c44b0e>(特定战斗)</color>|Chỗ này hôi quá, tôi còn tưởng là nhà xí nữa!<color=#c44b0e>(特定战斗)</color>	Thật ra tôi định bắt một tên trộm nhỏ, không ngờ lại sa vào ổ trộm!<color=#c44b0e>( đặc định chiến đấu )</color>|Mọi ác nhân cuối cùng sẽ bị trừng trị!<color=#c44b0e>( đặc định chiến đấu )</color>|Đúng lúc sẽ dọn sạch các ngươi!<color=#c44b0e>( đặc định chiến đấu )</color>|Hôm nay ta nhất định phải diệt trừ tai họa cho dân!<color=#c44b0e>( đặc định chiến đấu )</color>|Chỗ này hôi quá, tôi còn tưởng là nhà xí nữa!<color=#c44b0e>( đặc định chiến đấu )</color>
Thật ra tôi định bắt một tên trộm nhỏ, không ngờ lại sa vào ổ trộm!<color=#c44b0e>(特定战斗)</color>|Mọi ác nhân cuối cùng sẽ bị trừng trị!<color=#c44b0e>(特定战斗)</color>|Đúng lúc sẽ dọn sạch các ngươi!<color=#c44b0e>(特定战斗)</color>|Hôm nay ta nhất định phải diệt trừ tai họa cho dân!<color=#c44b0e>(特定战斗)</color>|Chỗ này hôi quá, tôi còn tưởng là nhà xí nữa!<color=#c44b0e>(特定战斗)</color>	Thật ra tôi định bắt một tên trộm nhỏ, không ngờ lại sa vào ổ trộm!<color=#c44b0e>( đặc định chiến đấu )</color>|Mọi ác nhân cuối cùng sẽ bị trừng trị!<color=#c44b0e>( đặc định chiến đấu )</color>|Đúng lúc sẽ dọn sạch các ngươi!<color=#c44b0e>( đặc định chiến đấu )</color>|Hôm nay ta nhất định phải diệt trừ tai họa cho dân!<color=#c44b0e>( đặc định chiến đấu )</color>|Chỗ này hôi quá, tôi còn tưởng là nhà xí nữa!<color=#c44b0e>( đặc định chiến đấu )</color>
Thật ra tôi định bắt một tên trộm nhỏ, không ngờ lại sa vào ổ trộm!<color=#c44b0e>(特定战斗)</color>|Mọi ác nhân cuối cùng sẽ bị trừng trị!<color=#c44b0e>(特定战斗)</color>|Đúng lúc sẽ dọn sạch các ngươi!<color=#c44b0e>(特定战斗)</color>|Hôm nay ta nhất định phải diệt trừ tai họa cho dân!<color=#c44b0e>(特定战斗)</color>|Chỗ này hôi quá, tôi còn tưởng là nhà xí nữa!<color=#c44b0e>(特定战斗)</color>	Thật ra tôi định bắt một tên trộm nhỏ, không ngờ lại sa vào ổ trộm!<color=#c44b0e>( đặc định chiến đấu )</color>|Mọi ác nhân cuối cùng sẽ bị trừng trị!<color=#c44b0e>( đặc định chiến đấu )</color>|Đúng lúc sẽ dọn sạch các ngươi!<color=#c44b0e>( đặc định chiến đấu )</color>|Hôm nay ta nhất định phải diệt trừ tai họa cho dân!<color=#c44b0e>( đặc định chiến đấu )</color>|Chỗ này hôi quá, tôi còn tưởng là nhà xí nữa!<color=#c44b0e>( đặc định chiến đấu )</color>
Cho dù Đại ca các ngươi có đến, ta cũng không sợ!<color=#c44b0e>(特定战斗)</color>|Chỉ là một bọn tiểu đạo tặc mà thôi, ta còn không để vào mắt!<color=#c44b0e>(特定战斗)</color>|Chỉ với mấy người các ngươi mà cũng muốn giết ta? Thật nực cười!<color=#c44b0e>(特定战斗)</color>|Hôm nay ta sẽ bắt hết các ngươi!<color=#c44b0e>(特定战斗)</color>|Các ngươi tự đưa mình đến cửa, thật tiết kiệm công sức cho ta!<color=#c44b0e>(特定战斗)</color>	Cho dù Đại ca các ngươi có đến, ta cũng không sợ!<color=#c44b0e>( đặc định chiến đấu )</color>|Chỉ là một bọn tiểu đạo tặc mà thôi, ta còn không để vào mắt!<color=#c44b0e>( đặc định chiến đấu )</color>|Chỉ với mấy người các ngươi mà cũng muốn giết ta? Thật nực cười!<color=#c44b0e>( đặc định chiến đấu )</color>|Hôm nay ta sẽ bắt hết các ngươi!<color=#c44b0e>( đặc định chiến đấu )</color>|Các ngươi tự đưa mình đến cửa, thật tiết kiệm công sức cho ta!<color=#c44b0e>( đặc định chiến đấu )</color>
Cho dù Đại ca các ngươi có đến, ta cũng không sợ!<color=#c44b0e>(特定战斗)</color>|Chỉ là một bọn tiểu đạo tặc mà thôi, ta còn không để vào mắt!<color=#c44b0e>(特定战斗)</color>|Chỉ với mấy người các ngươi mà cũng muốn giết ta? Thật nực cười!<color=#c44b0e>(特定战斗)</color>|Hôm nay ta sẽ bắt hết các ngươi!<color=#c44b0e>(特定战斗)</color>|Các ngươi tự đưa mình đến cửa, thật tiết kiệm công sức cho ta!<color=#c44b0e>(特定战斗)</color>	Cho dù Đại ca các ngươi có đến, ta cũng không sợ!<color=#c44b0e>( đặc định chiến đấu )</color>|Chỉ là một bọn tiểu đạo tặc mà thôi, ta còn không để vào mắt!<color=#c44b0e>( đặc định chiến đấu )</color>|Chỉ với mấy người các ngươi mà cũng muốn giết ta? Thật nực cười!<color=#c44b0e>( đặc định chiến đấu )</color>|Hôm nay ta sẽ bắt hết các ngươi!<color=#c44b0e>( đặc định chiến đấu )</color>|Các ngươi tự đưa mình đến cửa, thật tiết kiệm công sức cho ta!<color=#c44b0e>( đặc định chiến đấu )</color>
Cho dù Đại ca các ngươi có đến, ta cũng không sợ!<color=#c44b0e>(特定战斗)</color>|Chỉ là một bọn tiểu đạo tặc mà thôi, ta còn không để vào mắt!<color=#c44b0e>(特定战斗)</color>|Chỉ với mấy người các ngươi mà cũng muốn giết ta? Thật nực cười!<color=#c44b0e>(特定战斗)</color>|Hôm nay ta sẽ bắt hết các ngươi!<color=#c44b0e>(特定战斗)</color>|Các ngươi tự đưa mình đến cửa, thật tiết kiệm công sức cho ta!<color=#c44b0e>(特定战斗)</color>	Cho dù Đại ca các ngươi có đến, ta cũng không sợ!<color=#c44b0e>( đặc định chiến đấu )</color>|Chỉ là một bọn tiểu đạo tặc mà thôi, ta còn không để vào mắt!<color=#c44b0e>( đặc định chiến đấu )</color>|Chỉ với mấy người các ngươi mà cũng muốn giết ta? Thật nực cười!<color=#c44b0e>( đặc định chiến đấu )</color>|Hôm nay ta sẽ bắt hết các ngươi!<color=#c44b0e>( đặc định chiến đấu )</color>|Các ngươi tự đưa mình đến cửa, thật tiết kiệm công sức cho ta!<color=#c44b0e>( đặc định chiến đấu )</color>
Cho dù Đại ca các ngươi có đến, ta cũng không sợ!<color=#c44b0e>(特定战斗)</color>|Chỉ là một bọn tiểu đạo tặc mà thôi, ta còn không để vào mắt!<color=#c44b0e>(特定战斗)</color>|Chỉ với mấy người các ngươi mà cũng muốn giết ta? Thật nực cười!<color=#c44b0e>(特定战斗)</color>|Hôm nay ta sẽ bắt hết các ngươi!<color=#c44b0e>(特定战斗)</color>|Các ngươi tự đưa mình đến cửa, thật tiết kiệm công sức cho ta!<color=#c44b0e>(特定战斗)</color>	Cho dù Đại ca các ngươi có đến, ta cũng không sợ!<color=#c44b0e>( đặc định chiến đấu )</color>|Chỉ là một bọn tiểu đạo tặc mà thôi, ta còn không để vào mắt!<color=#c44b0e>( đặc định chiến đấu )</color>|Chỉ với mấy người các ngươi mà cũng muốn giết ta? Thật nực cười!<color=#c44b0e>( đặc định chiến đấu )</color>|Hôm nay ta sẽ bắt hết các ngươi!<color=#c44b0e>( đặc định chiến đấu )</color>|Các ngươi tự đưa mình đến cửa, thật tiết kiệm công sức cho ta!<color=#c44b0e>( đặc định chiến đấu )</color>
Cho dù Đại ca các ngươi có đến, ta cũng không sợ!<color=#c44b0e>(特定战斗)</color>|Chỉ là một bọn tiểu đạo tặc mà thôi, ta còn không để vào mắt!<color=#c44b0e>(特定战斗)</color>|Chỉ với mấy người các ngươi mà cũng muốn giết ta? Thật nực cười!<color=#c44b0e>(特定战斗)</color>|Hôm nay ta sẽ bắt hết các ngươi!<color=#c44b0e>(特定战斗)</color>|Các ngươi tự đưa mình đến cửa, thật tiết kiệm công sức cho ta!<color=#c44b0e>(特定战斗)</color>	Cho dù Đại ca các ngươi có đến, ta cũng không sợ!<color=#c44b0e>( đặc định chiến đấu )</color>|Chỉ là một bọn tiểu đạo tặc mà thôi, ta còn không để vào mắt!<color=#c44b0e>( đặc định chiến đấu )</color>|Chỉ với mấy người các ngươi mà cũng muốn giết ta? Thật nực cười!<color=#c44b0e>( đặc định chiến đấu )</color>|Hôm nay ta sẽ bắt hết các ngươi!<color=#c44b0e>( đặc định chiến đấu )</color>|Các ngươi tự đưa mình đến cửa, thật tiết kiệm công sức cho ta!<color=#c44b0e>( đặc định chiến đấu )</color>
Cho dù Đại ca các ngươi có đến, ta cũng không sợ!<color=#c44b0e>(特定战斗)</color>|Chỉ là một bọn tiểu đạo tặc mà thôi, ta còn không để vào mắt!<color=#c44b0e>(特定战斗)</color>|Chỉ với mấy người các ngươi mà cũng muốn giết ta? Thật nực cười!<color=#c44b0e>(特定战斗)</color>|Hôm nay ta sẽ bắt hết các ngươi!<color=#c44b0e>(特定战斗)</color>|Các ngươi tự đưa mình đến cửa, thật tiết kiệm công sức cho ta!<color=#c44b0e>(特定战斗)</color>	Cho dù Đại ca các ngươi có đến, ta cũng không sợ!<color=#c44b0e>( đặc định chiến đấu )</color>|Chỉ là một bọn tiểu đạo tặc mà thôi, ta còn không để vào mắt!<color=#c44b0e>( đặc định chiến đấu )</color>|Chỉ với mấy người các ngươi mà cũng muốn giết ta? Thật nực cười!<color=#c44b0e>( đặc định chiến đấu )</color>|Hôm nay ta sẽ bắt hết các ngươi!<color=#c44b0e>( đặc định chiến đấu )</color>|Các ngươi tự đưa mình đến cửa, thật tiết kiệm công sức cho ta!<color=#c44b0e>( đặc định chiến đấu )</color>
Cho dù Đại ca các ngươi có đến, ta cũng không sợ!<color=#c44b0e>(特定战斗)</color>|Chỉ là một bọn tiểu đạo tặc mà thôi, ta còn không để vào mắt!<color=#c44b0e>(特定战斗)</color>|Chỉ với mấy người các ngươi mà cũng muốn giết ta? Thật nực cười!<color=#c44b0e>(特定战斗)</color>|Hôm nay ta sẽ bắt hết các ngươi!<color=#c44b0e>(特定战斗)</color>|Các ngươi tự đưa mình đến cửa, thật tiết kiệm công sức cho ta!<color=#c44b0e>(特定战斗)</color>	Cho dù Đại ca các ngươi có đến, ta cũng không sợ!<color=#c44b0e>( đặc định chiến đấu )</color>|Chỉ là một bọn tiểu đạo tặc mà thôi, ta còn không để vào mắt!<color=#c44b0e>( đặc định chiến đấu )</color>|Chỉ với mấy người các ngươi mà cũng muốn giết ta? Thật nực cười!<color=#c44b0e>( đặc định chiến đấu )</color>|Hôm nay ta sẽ bắt hết các ngươi!<color=#c44b0e>( đặc định chiến đấu )</color>|Các ngươi tự đưa mình đến cửa, thật tiết kiệm công sức cho ta!<color=#c44b0e>( đặc định chiến đấu )</color>
Cho dù Đại ca các ngươi có đến, ta cũng không sợ!<color=#c44b0e>(特定战斗)</color>|Chỉ là một bọn tiểu đạo tặc mà thôi, ta còn không để vào mắt!<color=#c44b0e>(特定战斗)</color>|Chỉ với mấy người các ngươi mà cũng muốn giết ta? Thật nực cười!<color=#c44b0e>(特定战斗)</color>|Hôm nay ta sẽ bắt hết các ngươi!<color=#c44b0e>(特定战斗)</color>|Các ngươi tự đưa mình đến cửa, thật tiết kiệm công sức cho ta!<color=#c44b0e>(特定战斗)</color>	Cho dù Đại ca các ngươi có đến, ta cũng không sợ!<color=#c44b0e>( đặc định chiến đấu )</color>|Chỉ là một bọn tiểu đạo tặc mà thôi, ta còn không để vào mắt!<color=#c44b0e>( đặc định chiến đấu )</color>|Chỉ với mấy người các ngươi mà cũng muốn giết ta? Thật nực cười!<color=#c44b0e>( đặc định chiến đấu )</color>|Hôm nay ta sẽ bắt hết các ngươi!<color=#c44b0e>( đặc định chiến đấu )</color>|Các ngươi tự đưa mình đến cửa, thật tiết kiệm công sức cho ta!<color=#c44b0e>( đặc định chiến đấu )</color>
Cho dù Đại ca các ngươi có đến, ta cũng không sợ!<color=#c44b0e>(特定战斗)</color>|Chỉ là một bọn tiểu đạo tặc mà thôi, ta còn không để vào mắt!<color=#c44b0e>(特定战斗)</color>|Chỉ với mấy người các ngươi mà cũng muốn giết ta? Thật nực cười!<color=#c44b0e>(特定战斗)</color>|Hôm nay ta sẽ bắt hết các ngươi!<color=#c44b0e>(特定战斗)</color>|Các ngươi tự đưa mình đến cửa, thật tiết kiệm công sức cho ta!<color=#c44b0e>(特定战斗)</color>	Cho dù Đại ca các ngươi có đến, ta cũng không sợ!<color=#c44b0e>( đặc định chiến đấu )</color>|Chỉ là một bọn tiểu đạo tặc mà thôi, ta còn không để vào mắt!<color=#c44b0e>( đặc định chiến đấu )</color>|Chỉ với mấy người các ngươi mà cũng muốn giết ta? Thật nực cười!<color=#c44b0e>( đặc định chiến đấu )</color>|Hôm nay ta sẽ bắt hết các ngươi!<color=#c44b0e>( đặc định chiến đấu )</color>|Các ngươi tự đưa mình đến cửa, thật tiết kiệm công sức cho ta!<color=#c44b0e>( đặc định chiến đấu )</color>
